,Phone_names,Links
10,"realme C20 (Cool Blue, 32 GB)",https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGF4894MEWZJGV.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
11,"realme 9i (Prism Black, 128 GB)",https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGBMZH9X7PQZJZ.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
12,"realme C35 (Glowing Green, 64 GB)",https://www.flipkart.com/realme-c35-glowing-green-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFSKHF8RAU&lid=LSTMOBGBTHFSKHF8RAURAV7HE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGBTHFSKHF8RAU.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
13,"realme Narzo 50A (Oxygen Green, 128 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H&lid=LSTMOBG6MY4DNG9688HDUZO0K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG6MY4DNG9688H.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
14,"realme Narzo 50A (Oxygen Green, 64 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGGGKYEYU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG6MY4X6JDZMGG.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
15,"realme Narzo 30 5G (Racing Silver, 128 GB)",https://www.flipkart.com/realme-narzo-30-5g-racing-silver-128-gb/p/itm56837fcb0d6f3?pid=MOBG3W3GWVTBTQZQ&lid=LSTMOBG3W3GWVTBTQZQHSKLPB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG3W3GWVTBTQZQ.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
16,"POCO M4 Pro 5G (Cool Blue, 64 GB)",https://www.flipkart.com/poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYB2EYHFI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
17,"REDMI 9i Sport (Coral Green, 64 GB)",https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGEZXWFI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
18,"POCO C31 (Shadow Gray, 64 GB)",https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHYSYSJR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
19,"POCO C31 (Royal Blue, 32 GB)",https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBDYSPVO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
20,"REDMI Note 10T 5G (Metallic Blue, 64 GB)",https://www.flipkart.com/redmi-note-10t-5g-metallic-blue-64-gb/p/itm7a558068a9f23?pid=MOBGC7QFTGDSWQZN&lid=LSTMOBGC7QFTGDSWQZNQOXYJA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGC7QFTGDSWQZN.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
21,"REDMI 10 (Pacific Blue, 64 GB)",https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
22,"realme C35 (Glowing Black, 64 GB)",https://www.flipkart.com/realme-c35-glowing-black-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFDQXQEGNS&lid=LSTMOBGBTHFDQXQEGNSZWXHXJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGBTHFDQXQEGNS.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
23,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGE2KYCFZA7BRB.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
